29 Jul 2017 13:30:02 : Proton Gaming Network, infinityevolved, Pikadude1228#0109, No, unexpected error when launching, I ended up deleting the mod pack and reinstalling it.
29 Jul 2017 13:32:51 : Proton Gaming Network, staff_general, Pikadude1228#0109, There it showed a difference of like 10 mods but when I launched it told me I had 6 or 7 duplicates
29 Jul 2017 20:20:22 : Achievement Heaven, staff-room, GamerKatland#1817, yui echo hello
29 Jul 2017 20:20:23 : Achievement Heaven, staff-room, Yui (ユイ)#2222, hello
29 Jul 2017 20:20:23 : Achievement Heaven, staff-room, Botfuzzy77#2209, *Its me*
29 Jul 2017 20:20:51 : Achievement Heaven, staff-room, GamerKatland#1817, how are you
29 Jul 2017 20:21:00 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 will u love me
29 Jul 2017 20:21:01 : Achievement Heaven, staff-room, Botfuzzy77#2209, Only if you want me to.
29 Jul 2017 20:21:01 : Achievement Heaven, staff-room, GamerKatland#1817, @Botfuzzy77  how are you
29 Jul 2017 20:21:02 : Achievement Heaven, staff-room, Botfuzzy77#2209, I'm fine, how are you?
29 Jul 2017 20:21:18 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 yes i want u to
29 Jul 2017 20:21:18 : Achievement Heaven, staff-room, Botfuzzy77#2209, Can we have kids?
29 Jul 2017 20:21:23 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 yes
29 Jul 2017 20:21:24 : Achievement Heaven, staff-room, Botfuzzy77#2209, How many?
29 Jul 2017 20:21:29 : Achievement Heaven, staff-room, GamerKatland#1817, O.O
29 Jul 2017 20:21:30 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 how many u want
29 Jul 2017 20:21:31 : Achievement Heaven, staff-room, Botfuzzy77#2209, I need no more friends.
29 Jul 2017 20:21:43 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 we are much more than that
29 Jul 2017 20:21:45 : Achievement Heaven, staff-room, Botfuzzy77#2209, A factor of it.
29 Jul 2017 20:22:02 : Achievement Heaven, staff-room, GamerKatland#1817, @Botfuzzy77 do you want 2 kids with tiger
29 Jul 2017 20:22:04 : Achievement Heaven, staff-room, Botfuzzy77#2209, Can they tickle good.
29 Jul 2017 20:22:12 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 if u need them to
29 Jul 2017 20:22:17 : Achievement Heaven, staff-room, Botfuzzy77#2209, Please give me the money.
29 Jul 2017 20:22:33 : Achievement Heaven, staff-room, GamerKatland#1817, shes only in it for da money
29 Jul 2017 20:22:47 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 why i thought u loved me why don;t u just take my bank
29 Jul 2017 20:22:49 : Achievement Heaven, staff-room, Botfuzzy77#2209, Ok I won't leave.
29 Jul 2017 20:23:04 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 do u love me or was this just a game to get my money
29 Jul 2017 20:23:05 : Achievement Heaven, staff-room, Botfuzzy77#2209, I love you.
29 Jul 2017 20:23:11 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 i love u too
29 Jul 2017 20:23:15 : Achievement Heaven, staff-room, Botfuzzy77#2209, I don't know what love is.
29 Jul 2017 20:23:23 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 does anyone
29 Jul 2017 20:24:12 : Achievement Heaven, staff-room, tigertiger02#4338, @Botfuzzy77 but we know we do inside trully
